Sample_Date,Site_Type,Cave_Name,Cave_Sect_No,Rock  #,Pic #,Eggs_P/AB ,Fish_P/AB,Fish_L/W,1_Water_depth,2_Water_depth,3_Water_depth,Avg_depth,Water_ velocity (m/s),Sect_Dry_width (cm),Sect_Wet_width (cm),Rock_height_1,Rock_height_2,Rock_height_3,Rock_height_4,"Rock_underside_Concave, Flat, Convex",Rock_Yole_Y/N,Substrate_under_rock,Substrate_around_ rock,Substrate_depth  (cm),C,DO,T,pH,Left_Slope,Right_Slope,Additional_Notes
1/17/2017,Spawning,Tom Moore,SP,T1,,P,P,2 fish - 92mm/ 7.3g,13,15,14,14,0.05,419,224,8,7.8,7,0.9,Concave,N,Bedrock,Bedrock,0.9,391,9.6,11.7,7.42,25,90,Small rock in middle of stream
1/17/2017,Spawning,Tom Moore,SP,T2,,P,AB,,24,22.5,22,22.5,0.05,465,350,7,10,7,8,Concave,N,Bedrock,Bedrock,0.7,390,8.25,11.85,7.5,5,90,Small rock in middle of stream
1/23/2017,Spawning,RunningB,20,T1,RB01,P,P,3 fish (no data),10,17,16,14.33333333,0.12,297,90,13,12,9,14,Concave,N,Cobble,Bedrock,2.5,578,9.13,13.75,7.49,30,25,"Large rock along bank, attached so could not lift up to see. Felt eggs"
1/24/2017,Spawning,Mystery,99,T1,MY1,P,P,98mm/ 11.4g,4,8,9,7,0.12,362,200,7,7.5,10,5.5,Concave,Y,Cobble, Bedrock,0.9,586,10.28,11.02,7.93,15,18,Large rock in the middle of  stream
12/27/2016,Spawning,Mystery,99,T9,MY66,P,AB,,4,5.5,4,4.5,0.12,368,120,10,15,10,6,Convex,N,Cobble,Bedrock,1.5,586,10.28,11.02,7.93,15,18,Large rock along bank (used to have eggs)
1/17/2017,Spawning,Tom Moore,137,T3,,P,AB,,14,22,30,21.5,0.62,737,125,11,11,14,8,Convex,N,Rock,Bedrock,0.7,386.9,8.65,13.78,7.52,25,90,Large rock in the middle of stream
1/24/2017,Spawning,Mystery,72,T2,MY2,P,AB,,8,12,10,10,0.33,322,115,8,12,8,7,Convex,N,Silt,Bedrock,2.5,584,10.52,11.26,8.06,69,10,Large rock in the middle of stream
1/24/2017,Spawning,Mystery,30,T3,MY13,P,P,(no data),7,5,6,6,0.18,384,346,6,8,4,9,Convex,N,Bedrock,Bedrock,0.8,587,9.32,12.5,8.02,24,26,Large rock in the middle of stream
1/25/2017,Spawning,Mystery,RF0,T4,MY23,P,P,(no data),11,12,9,10.66666667,0.02,414,305,8,4.2,5,6,Convex,N,Cobble,Bedrock,0.8,607.6,9.23,13.5,7.62,65,29,Large rock along bank
1/25/2017,Spawning,Mystery,RF0,T5,MY24,P,P,(no data),10,11,13,11.33333333,0.02,500,290,14.1,12.4,16.5,12.4,Convex,N,Pebble,Bedrock,0.6,518,7.92,13.57,7.71,64,24,Large rock along bank
1/31/2017,Spawning,Tom Moore,116,T9,,P,P,2 fish - 91mm/ 7.9g - 90mm/ 5.8g,22,30,33,28.33333333,0.05,500,300,1,1,1,0.5,Convex,N,Silt,Bedrock,0.6,553,8,13.89,6.26,40,30,Small rock in middle of stream
1/31/2017,Spawning,Tom Moore,118,T10,,P,P,(no data),16,14,4,11.33333333,0.05,528,228,1,1,3.5,0.5,Convex,N,Silt,Bedrock,0.8,553,8,13.89,6.26,90,20,Small rock in middle of stream
2/5/2017,Spawning,Tom Moore,119,T11,,P,P,(no data),20,17,16,17.66666667,0.05,380,310,1,1,2,0.5,Convex,N,Silt,Bedrock,1.2,555,8.5,19.2,6.35,40,35,Small rock in middle of stream
2/5/2017,Spawning,Tom Moore,121,T13,,P,P,(no data),20,13,4,12.33333333,0.05,510,260,1,1,1,0.5,Convex,N,Silt,Bedrock,0.5,555,8,19,6.3,10,30,Small rock in middle of stream
2/16/2017,Spawning,Tom Moore,117,T17,,P,P,91mm/ 6.5g,2,5,6,4.333333333,0.05,450,320,1,1,0.5,0.25,Convex,N,Silt,Bedrock,1.6,652,9.74,13.65,8.26,19,25,Small rock in middle of stream
12/21/2016,Spawning,Mystery,15,T8,MY51,P,AB,,11.5,14,15,13.5,0.05,420,162,5,5,3.5,4,Flat,N,Silt,Cobble,3,638,7.02,13.05,7.91,65,15,Large rock along bank (used to have eggs)
1/25/2017,Spawning,Mystery,RF0,T6,MY25,P,P,(no data),6.8,4,5,5.266666667,0.12,513,120,3.1,5,41,2,Flat,N,Bedrock,Bedrock,0.7,518,7.92,13.57,7.71,34,52,Large rock along bank
1/25/2017,Spawning,Mystery,RF0,T7,MY26,P,P,(no data),6.8,4,5,5.266666667,0.12,513,120,1.2,1.3,3,4,Flat,N,Bedrock,Bedrock,0.8,518,7.92,13.57,7.71,34,52,Small rock along bank
1/31/2017,Spawning,Tom Moore,SP,T4,,P,P,102mm/ 10.7g,19,15,10,14.66666667,0.05,419,224,2,2,1,3,Flat,N,Rock,Bedrock,1.2,507,8.96,12.44,6.97,25,90,Small rock in middle of stream
1/31/2017,Spawning,Tom Moore,110,T5,,P,AB,,29,33,27,29.66666667,0.05,550,280,1,3,1,5,Flat,N,Silt,Cobble,1.5,560,8.2,13.89,6.87,90,90,Small rock in middle of stream. 3 egg masses.
1/31/2017,Spawning,Tom Moore,110,T6,,P,AB,,29,33,27,29.66666667,0.05,550,280,1,6,5,1,Flat,N,Silt,Cobble,1.3,560,8.2,13.89,6.87,UC,UC,Small rock in middle of stream
1/31/2017,Spawning,Tom Moore,113,T7,,P,P,80mm/ NA,12,37,47,32,0.06,450,270,1,1,1.5,1,Flat,N,Silt,Cobble,0.6,555,8.2,13.89,6.49,90,UC,Small rock in middle of stream
1/31/2017,Spawning,Tom Moore,113,T8,,P,P,94mm/ 7.6g,12,37,47,32,0.06,450,270,1,1,0.5,0.5,Flat,N,Silt,Bedrock,0.7,555,8.2,13.89,6.49,91,UC,Small rock in middle of stream. 4 egg masses
2/5/2017,Spawning,Tom Moore,120,T12,,P,P,(no data),13,10,10,11,0.06,460,370,1,1,2,2,Flat,N,Silt,Bedrock,1.2,556,8.2,19.2,6.35,20,30,Large rock along bank
2/5/2017,Spawning,Tom Moore,121,T14,,P,P,(no data),20,13,4,12.33333333,0.05,510,260,0.5,0.5,0.6,1,Flat,N,Silt,Bedrock,1.4,555,8,19,6.3,10,30,Small rock in middle of stream
1/24/2017,Random,Mystery,0,R1,MY3,AB,AB,,36,19,49,34.66666667,0.03,580,382,31,30,27,27,Concave,N,Bedrock,Mud,0.8,580,9.44,13.01,7.95,90,90,Large rock in the middle of stream
1/25/2017,Random,Mystery,SS1,R13,MY16,AB,AB,,11.5,14,12,12.5,0.14,415,80,10,8,6,3,Concave,N,Bedrock,Cobble,0.7,592,8.99,13.92,7.99,31,44,Small rock along bank
1/25/2017,Random,Mystery,SS22,R14,MY17,AB,AB,,2,3.5,4,3.166666667,0.14,347,100,7,5,2,3,Concave,N,Pebble,Cobble,0.7,592,8.99,13.92,7.99,7,53,Small rock in middle of stream
1/26/2017,Random,Mystery,80,R26,MY33,AB,AB,,5,3,1,3,0.11,438,64,7,4,3,4,Concave,N,Mud,Cobble,0.9,554,9.51,10.94444444,9.25,9,21,Small rock along bank
1/26/2017,Random,Mystery,85,R27,MY34,AB,AB,,7,8,7,7.333333333,0.07,265,155,4,5,1,7,Concave,N,Mud,Bedrock,0.5,554,9.51,10.94444444,9.25,22,40,Large rock in the middle of stream 
1/26/2017,Random,Mystery,86,R29,MY36,AB,AB,,19,21,13,17.66666667,0.18,428,247,2,5,4,4,Concave,N,Mud,Bedrock,0.9,551,10.32,10.83333333,9.26,25,23,Large rock in the middle of stream 
1/26/2017,Random,Mystery,124,R41,MY48,AB,AB,,4.5,8,5.5,6,0.3,260,117,2,4,5,4,Concave,N,Bedrock,Bedrock,4.5,542,10.09,10.16666667,8.61,29,32,Small rock in middle of stream
2/22/2017,Random,Mystery,RF0,R44,MY52,AB,AB,,2,14,15,10.33333333,0.02,500,80,11,9,5,6,Concave,N,Bedrock,Silt,0.9,618,7.92,13.57,7.71,5,10,Small rock along bank
2/22/2017,Random,Mystery,119,R72,MY80,AB,AB,,2,7,5,4.666666667,0.2,300,96,3,1,2,2,Concave,N,Cobble,Silt,6.8,559,10.16,10.55555556,8.7,15,58,Small rock in middle of stream
4/19/2017,Random,Tom Moore,59,R72,,AB,AB,,9.1,11.4,9.6,10.03333333,0.02,355,282,1.5,4.5,4.4,5,Concave,N,Bedrock,Pebble,0.7,602.3,11.55,13.92,8.08,74,90,
4/19/2017,Random,Tom Moore,69,R77,,AB,AB,,11,12.5,13,12.16666667,0.2,378,217,2.8,2.4,2.5,3,Concave,N,Bedrock,Silt,0.6,601,12.14,13.84,8.1,25,7,Pool
4/19/2017,Random,Tom Moore,69,R79,,AB,AB,,11,12.5,13,12.16666667,0.2,378,217,3.5,2.4,2.5,2.3,Concave,N,Bedrock,Silt,1.3,601,12.14,13.84,8.1,25,7,Pool
4/19/2017,Random,Tom Moore,78,R86,,AB,P,2 fish (85mm),6.6,8.1,0.4,5.033333333,0.01,537,360,2,3,3.5,2.2,Concave,N,Bedrock,Silt,1.7,601.6,11.35,13.88,8.04,17,2,
4/19/2017,Random,Tom Moore,78,R88,,AB,P,2 fish (85mm),6.6,8.1,0.4,5.033333333,0.01,537,360,10,8.5,9.3,11,Concave,N,Bedrock,Silt,1.2,601.6,11.35,13.88,8.04,17,2,
4/19/2017,Random,Tom Moore,89,R95,,AB,P,3+ fish,32,37.5,37.5,35.66666667,0.01,506,382,2.8,2.5,3,2,Concave,N,Bedrock,Mud,1.8,608.7,11.45,13.85,8.1,90,34,
4/19/2017,Random,Tom Moore,89,R96,,AB,P,3+ fish,32,37.5,37.5,35.66666667,0.01,506,382,2.5,2.3,3,4,Concave,N,Bedrock,Mud,1.4,608.7,11.45,13.85,8.1,90,34,
4/19/2017,Random,Tom Moore,89,R99,,AB,P,3+ fish,32,37.5,37.5,35.66666667,0.01,506,382,5,6,6,1.9,Concave,N,Bedrock,Mud,1,608.7,11.45,13.85,8.1,90,34,
4/19/2017,Random,Tom Moore,96,R107,,AB,AB,,6,4,1.9,3.966666667,0.06,272,168,2.8,3.4,2.2,2,Concave,N,Bedrock,Cobble,1.7,636.5,11.6,13.96,7.99,29,29,
4/19/2017,Random,Tom Moore,105,R113,,AB,AB,,23.5,49,34.5,35.66666667,0.01,324,281,4,2.5,2.4,2.1,Concave,N,Bedrock,Mud,2.5,640,11.64,13.94,7.82,90,90,Pool
